"Fact","Fact Note","Tehachapi city, California","Value Note for Tehachapi city, California","Rosamond CDP, California","Value Note for Rosamond CDP, California","Calexico city, California","Value Note for Calexico city, California","Imperial city, California","Value Note for Imperial city, California","Salton City CDP, California","Value Note for Salton City CDP, California","Brawley city, California","Value Note for Brawley city, California"
"Population Estimates, July 1 2021, (V2021)","","NA","","X","","NA","","NA","","X","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","NA","","X","","NA","","NA","","X","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","NA","","X","","NA","","NA","","X","","NA",""
"Population, Census, April 1, 2020","","12,939","","20,961","","38,633","","20,263","","5,155","","26,416",""
"Population, Census, April 1, 2010","","14,414","","18,150","","38,572","","14,758","","3,763","","24,953",""
"Persons under 5 years, percent","","6.3%","","6.4%","","6.8%","","11.6%","","7.7%","","10.6%",""
"Persons under 18 years, percent","","18.0%","","29.8%","","28.0%","","37.4%","","19.5%","","33.3%",""
"Persons 65 years and over, percent","","12.3%","","9.8%","","15.5%","","9.3%","","21.1%","","11.6%",""
"Female persons, percent","","31.2%","","47.3%","","53.2%","","52.7%","","45.6%","","52.3%",""
"White alone, percent","","76.9%","","67.7%","","68.3%","","72.1%","","55.0%","","75.6%",""
"Black or African American alone, percent","(a)","7.0%","","10.4%","","0.2%","","1.2%","","2.2%","","1.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","0.9%","","0.3%","","0.1%","","0.5%","","1.4%",""
"Asian alone, percent","(a)","2.4%","","1.5%","","0.9%","","3.3%","","1.3%","","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.0%","","0.0%","","0.0%","","0.3%","","0.2%",""
"Two or More Races, percent","","6.0%","","6.1%","","9.3%","","12.4%","","4.0%","","9.3%",""
"Hispanic or Latino, percent","(b)","35.9%","","40.9%","","97.5%","","82.0%","","65.3%","","83.7%",""
"White alone, not Hispanic or Latino, percent","","51.5%","","44.1%","","1.5%","","12.9%","","29.4%","","13.6%",""
"Veterans, 2016-2020","","1,164","","1,869","","706","","504","","196","","697",""
"Foreign born persons, percent, 2016-2020","","13.0%","","11.1%","","44.9%","","21.4%","","28.0%","","26.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X","","X","","X","","X","","X","","X",""
