"Fact","Fact Note","Rancho Palos Verdes city, California","Value Note for Rancho Palos Verdes city, California","Delano city, California","Value Note for Delano city, California","Bakersfield city, California","Value Note for Bakersfield city, California","California City city, California","Value Note for California City city, California","Arvin city, California","Value Note for Arvin city, California","Brawley city, California","Value Note for Brawley city, California"
"Population Estimates, July 1 2021, (V2021)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, Census, April 1, 2020","","42,287","","51,428","","403,455","","14,973","","19,495","","26,416",""
"Population, Census, April 1, 2010","","41,643","","53,041","","347,483","","14,120","","19,304","","24,953",""
"Persons under 5 years, percent","","4.0%","","7.7%","","8.2%","","6.3%","","11.8%","","10.6%",""
"Persons under 18 years, percent","","21.8%","","25.6%","","29.9%","","22.1%","","38.8%","","33.3%",""
"Persons 65 years and over, percent","","25.6%","","8.6%","","10.0%","","10.9%","","5.0%","","11.6%",""
"Female persons, percent","","51.5%","","41.3%","","50.6%","","42.9%","","50.0%","","52.3%",""
"White alone, percent","","53.5%","","58.1%","","61.1%","","52.4%","","73.0%","","75.6%",""
"Black or African American alone, percent","(a)","1.3%","","4.2%","","7.4%","","25.5%","","0.7%","","1.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.2%","","0.5%","","0.8%","","2.6%","","0.4%","","1.4%",""
"Asian alone, percent","(a)","32.6%","","13.3%","","7.3%","","2.6%","","1.6%","","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%","","0.3%","","0.2%","","0.3%","","0.0%","","0.2%",""
"Two or More Races, percent","","9.3%","","12.3%","","8.9%","","8.2%","","5.9%","","9.3%",""
"Hispanic or Latino, percent","(b)","10.0%","","76.9%","","51.1%","","34.2%","","94.0%","","83.7%",""
"White alone, not Hispanic or Latino, percent","","48.7%","","5.3%","","31.4%","","31.9%","","3.8%","","13.6%",""
"Veterans, 2016-2020","","1,907","","790","","12,956","","1,313","","201","","697",""
"Foreign born persons, percent, 2016-2020","","27.7%","","36.5%","","19.2%","","10.4%","","35.9%","","26.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X","","X","","X","","X","","X","","X",""
"Owner-occupied housing unit rate, 2016-2020","","77.6%","","59.4%","","59.4%","","57.4%","","50.3%","","52.9%",""
"Median value of owner-occupied housing units, 2016-2020","","$1,209,200","","$202,900","","$258,700","","$161,200","","$176,400","","$214,900",""
"Median selected monthly owner costs -with a mortgage, 2016-2020","","$4,000+","","$1,377","","$1,753","","$1,120","","$1,268","","$1,520",""
"Median selected monthly owner costs -without a mortgage, 2016-2020","","$823","","$356","","$529","","$376","","$442","","$533",""
"Median gross rent, 2016-2020","","$2,839","","$916","","$1,124","","$915","","$938","","$840",""
"Building permits, 2020","","X","","X","","X","","X","","X","","X",""
"Households, 2016-2020","","15,181","","11,444","","118,568","","4,169","","4,711","","6,957",""
"Persons per household, 2016-2020","","2.71","","3.87","","3.17","","2.80","","4.48","","3.71",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","","90.3%","","87.7%","","85.6%","","73.1%","","94.1%","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","","35.8%","","72.3%","","41.4%","","27.2%","","88.5%","","66.9%",""
"Households with a computer, percent, 2016-2020","","96.5%","","75.7%","","95.1%","","92.9%","","88.6%","","88.9%",""
"Households with a broadband Internet subscription, percent, 2016-2020","","93.9%","","71.7%","","89.9%","","84.6%","","72.4%","","82.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2016-2020","","98.1%","","58.7%","","81.4%","","78.4%","","38.9%","","72.8%",""
